,Open,High,Low,Close,Volume,Date,VWAP,RSI,MACD,EMA,Target,TargetClass
13,876.2,882.95,861.0,868.0,101023.0,2003-01-20,915.6726361981894,25.634181884941114,-0.4778674121369022,908.8642442332897,867.55,0
14,870.0,873.95,863.05,867.55,37167.0,2003-01-21,913.0724284420785,25.49917801521309,-3.1042187136724806,903.3556783355177,839.75,0
15,865.0,870.5,833.25,839.75,128320.0,2003-01-22,901.1651024928082,18.88291502123738,-6.984293269958243,894.8749212241154,846.9,1
16,841.0,852.0,825.1,846.9,64897.0,2003-01-23,895.5431815138714,24.321723211173094,-9.590658778409875,888.4782650609,842.3,0
17,849.7,850.0,833.5,842.3,34066.0,2003-01-24,889.3422296658962,23.242026276286055,-11.901628107956753,882.32116305278,829.8,0
18,840.05,840.05,820.0,829.8,38859.0,2003-01-27,881.2631159494402,20.56979330007097,-14.46149873379386,875.3183413124093,847.05,1
19,834.4,850.0,821.0,847.05,69001.0,2003-01-28,870.473256808236,32.161339374114476,-15.2837253883539,871.5492291374214,858.9,1
20,850.05,863.0,845.0,858.9,74219.0,2003-01-29,864.6697040704358,38.77165405993274,-15.043878616393386,869.862665252432,846.85,0
21,865.9,868.0,840.35,846.85,123451.0,2003-01-30,860.4393304245218,35.03330881385493,-15.487644751051448,866.7943098854411,828.25,0
22,845.0,845.0,815.0,828.25,84194.0,2003-01-31,856.1985127616671,30.19387541427767,-16.900544370041644,861.6550685673824,823.4,0
23,830.0,830.0,813.1,823.4,32872.0,2003-02-03,852.9669708129744,29.066372500653088,-18.197384804031117,856.5543927583981,819.6,0
24,829.0,839.0,818.5,819.6,27411.0,2003-02-04,850.7025283595439,28.178514624072903,-19.321066305443082,851.6271403906117,812.05,0
25,835.0,835.0,801.5,812.05,37130.0,2003-02-05,847.4597787125992,26.449800964619783,-20.536073068141604,846.3501883385301,818.85,1
26,820.0,824.0,811.25,818.85,28467.0,2003-02-06,844.6487665285402,30.58058564007777,-20.889919232359034,842.6834965600594,819.8,1
27,822.1,824.0,816.1,819.8,36183.0,2003-02-07,840.3365446759541,31.162253045748116,-20.922195845487522,839.6323636853848,809.6,0
28,817.1,825.0,807.5,809.6,15236.0,2003-02-10,838.5290078802542,28.409780990542743,-21.41240344968537,835.6280485273336,800.9,0
29,820.5,833.0,798.2,800.9,31964.0,2003-02-11,835.5438979869618,26.277784072717196,-22.171054611236514,830.9976420570224,794.85,0
30,793.0,804.0,790.0,794.85,22842.0,2003-02-12,833.6037904949217,24.879543500858176,-22.968761138269883,826.1779564494194,781.15,0
31,803.95,803.95,780.0,781.15,42183.0,2003-02-14,830.3026576828931,22.021959559651066,-24.283059865708083,820.1742289228301,790.0,1
32,792.0,799.0,788.0,790.0,30365.0,2003-02-17,828.5647426157633,27.79163627778108,-24.55061529988734,816.1509983997862,781.9,0
33,790.9,794.0,780.0,781.9,37176.0,2003-02-18,824.7926887106316,25.902564913480305,-25.062131383099654,811.584198613148,796.4,1
34,762.5,798.9,762.5,796.4,27442.0,2003-02-19,818.9766942963389,34.48730899650397,-24.311082232927674,809.5596387980615,799.0,1
35,803.0,813.9,797.0,799.0,72623.0,2003-02-20,809.1260069291322,35.92091725351575,-23.314156760187302,808.1516869583199,799.55,1
36,800.0,805.05,794.0,799.55,67865.0,2003-02-21,804.4976264600854,36.23877713519913,-22.259955684388046,807.0047953638773,796.95,0
37,795.0,803.5,795.0,796.95,33860.0,2003-02-24,802.9617179673434,35.34617645391165,-21.37199154566838,805.664155982027,788.9,0
38,795.0,798.95,783.2,788.9,22779.0,2003-02-25,801.1625984542379,32.663583812507994,-20.977133203430867,803.4289351844234,776.25,0
